Participant,PC1,PC2
4305,8.615510520483928,-6.817215836364897
6484,5.66053646897981,5.605615279540105
8577,10.46873069728454,-0.27227468279068534
8982,0.6117253176781094,-2.0603982954965225
10454,1.5145238309035767,-0.574319151878468
11118,-5.1701826273853415,0.4066862975472889
13661,0.0005212982136607036,0.197691620268612
16426,7.289449228382283,-2.2659036360521325
17122,-5.715481292842085,-2.0503050309975155
17362,2.2624945019499005,-3.9634069741328677
17931,1.9224781068333507,-1.5901069728086348
20327,-4.729524879446172,-0.14445636228722744
27658,-5.517769635162351,0.5613818613190912
27804,0.5475554081669052,-3.2665844132718806
30344,7.297253362705253,-4.675127388216069
31008,1.3400395263252787,1.8803793952114527
32481,1.2803080225868084,-0.3635574599067257
37417,-4.570799339948268,0.6921989416218509
38012,-5.744224103103462,-1.3765958381195045
40621,-5.7992345505965215,-0.6992737091771423
42757,-1.2945687052288404,-1.980330410650664
44230,1.978392090849317,-2.4351843558092274
44894,-1.732463833416404,-1.0855216580333527
47434,1.6755452859799131,2.1304637936243545
48226,-2.4328906760562106,-0.3811315191061061
49830,-4.532913525026999,-0.0653005531077134
50234,-0.61131781952703,-2.682811834028977
51860,4.033120393872703,5.969533025595962
51966,7.424678502868264,-2.0594433605276046
52371,2.6140443417707555,-2.7025340052149205
55501,6.497097381024812,-3.3087657848990055
59848,-0.3343629539358428,-1.3312075155703176
61984,-0.046038252088535514,5.5579757098803855
64784,0.6593039430118294,-1.7453942297920202
68797,-1.7280883509962455,4.507880443431903
69567,-0.7211020282855745,1.5524944201473554
70933,-2.0446139886562027,-1.191523027720149
72002,-2.201939401003745,0.2635733422309517
75206,-5.666281191714925,0.38495623104013754
75870,-5.469828562250194,-1.0926774245239372
76274,-2.1874776662205067,1.739161915449249
76533,-1.8861921538316748,2.17167793136556
80547,2.900882968013363,-0.2487211695358478
80806,3.8008245577647193,-2.3569456487653966
82942,-1.5685786479263637,-3.5886510119298722
85761,-2.7244640155763507,-1.064021553267974
88960,-0.954214374554454,4.3907953082759175
91228,4.461982663955324,7.870340120577033
92636,-2.8819114499747274,0.5942941830661918
92995,-0.5334152439581855,2.552212723941617
94296,-1.0698463826860543,-1.5806203707678905
95096,-4.57507362046152,-0.6047080395575989
95271,4.60433787073447,-2.757624555126914
96828,0.900957400179257,-3.0408338795933534
103182,1.8104895998879722,3.775984688479822
108060,-2.6063511492596603,-1.4218965385633375
148299,-1.9107742014085944,2.369773751768675
173411,4.885598576572813,-4.715949567327457
266359,-5.034609518752611,-1.0458730502738556
275201,-1.741425014647536,-1.8867957577132044
285249,-3.9401543042848317,-0.026299225669562908
288175,3.5705738878710847,4.485027253303565
292547,-4.507351990312905,-0.682941411442666
313709,3.2677529004708092,3.1002581771784294
321170,1.7964063919931126,0.5275354367676363
334015,0.3986102119922518,2.9468063808745684
394532,-5.612394280994041,-0.6440950617084066
402294,-4.529605993714068,0.7241588052543461
415421,-2.099106770494012,0.33455288944305794
428044,0.39768191327694713,-0.9058373460834345
442801,-6.136412838791404,0.9627193331645734
489565,2.2557756295495803,-0.12854391013898916
495003,1.6268202418751099,-4.102727679241301
537124,-1.7182854747224974,-0.026849207638993462
543431,-0.967616409438169,2.198472426926754
557078,-5.579135836250573,0.07762423503314894
590197,3.1084935720486344,-0.8208399782627607
622349,-3.322466098643309,-1.7930024363843557
635722,-1.2685640305424613,1.2866621893933536
646036,5.56115666289128,1.0909784295467684
651255,8.810850279307612,5.308598985147285
654559,6.2885241102515845,8.010497131769332
669544,3.195027864742545,1.728766334027209
694477,8.77378507460425,-1.1150478531256782
708380,-3.4240557452380607,-0.7637709145135743
728471,7.048060097176722,2.490065543439834
794044,-3.4618357757643476,-0.7283667569444111
798686,-5.109979769128296,0.008035094185249114
823002,-0.0030055947163848996,-1.0490615138904762
829077,0.08031288617767299,0.47413003455912184
855890,0.03423731873206655,4.594489357952596
867135,5.316618440823979,0.06673776345055489
876257,5.069189603005899,-6.744147453578805
882786,-5.427007388196183,1.5667170662327479
885521,-6.350051200008004,-0.040297684416840396
893422,-1.2401997747845555,-1.706710332872434
925801,-3.2230705218166826,0.6146274867860203
